,0
0,NOKEY
1,NOKEY
2,NOKEY
3,NOKEY
4,NOKEY
5,NOKEY
6,NOKEY
7,NOKEY
8,NOKEY
9,NOKEY
10,NOKEY
11,NOKEY
12,NOKEY
13,NOKEY
14,NOKEY
15,NOKEY
16,NOKEY
17,NOKEY
18,NOKEY
19,NOKEY
20,NOKEY
21,NOKEY
22,NOKEY
23,NOKEY
24,NOKEY
25,NOKEY
26,NOKEY
27,NOKEY
28,j
29,NOKEY
30,NOKEY
31,NOKEY
32,NOKEY
33,NOKEY
34,NOKEY
35,NOKEY
36,NOKEY
37,NOKEY
38,NOKEY
39,NOKEY
40,NOKEY
41,NOKEY
42,NOKEY
43,NOKEY
44,NOKEY
45,NOKEY
46,NOKEY
47,NOKEY
48,NOKEY
49,NOKEY
50,NOKEY
51,NOKEY
52,NOKEY
53,NOKEY
54,NOKEY
55,NOKEY
56,NOKEY
57,NOKEY
58,NOKEY
59,NOKEY
60,NOKEY
61,NOKEY
62,NOKEY
63,NOKEY
64,NOKEY
65,NOKEY
66,NOKEY
67,NOKEY
68,NOKEY
69,NOKEY
70,NOKEY
71,NOKEY
72,NOKEY
73,NOKEY
74,NOKEY
75,NOKEY
76,NOKEY
77,NOKEY
78,NOKEY
79,NOKEY
80,NOKEY
81,NOKEY
82,NOKEY
83,NOKEY
84,NOKEY
85,NOKEY
86,NOKEY
87,NOKEY
88,NOKEY
89,NOKEY
90,NOKEY
91,NOKEY
92,NOKEY
93,NOKEY
94,NOKEY
95,NOKEY
96,NOKEY
97,NOKEY
98,NOKEY
99,NOKEY
100,NOKEY
101,NOKEY
102,NOKEY
103,NOKEY
104,NOKEY
105,NOKEY
106,NOKEY
107,NOKEY
108,NOKEY
109,NOKEY
110,NOKEY
111,NOKEY
112,NOKEY
113,NOKEY
114,NOKEY
115,NOKEY
116,NOKEY
117,NOKEY
118,NOKEY
119,NOKEY
120,NOKEY
121,NOKEY
122,NOKEY
123,NOKEY
124,NOKEY
125,NOKEY
126,NOKEY
127,NOKEY
128,NOKEY
129,NOKEY
130,NOKEY
131,NOKEY
132,NOKEY
133,NOKEY
134,NOKEY
135,NOKEY
136,NOKEY
137,NOKEY
138,NOKEY
139,NOKEY
140,e
141,NOKEY
142,NOKEY
143,NOKEY
144,NOKEY
145,NOKEY
146,NOKEY
147,NOKEY
148,NOKEY
149,NOKEY
150,NOKEY
151,NOKEY
152,NOKEY
153,NOKEY
154,CTRL
155,NOKEY
156,NOKEY
157,NOKEY
158,e
159,NOKEY
160,NOKEY
161,NOKEY
162,NOKEY
163,NOKEY
164,NOKEY
165,NOKEY
166,NOKEY
167,NOKEY
168,NOKEY
169,a
170,NOKEY
171,NOKEY
172,NOKEY
173,NOKEY
174,NOKEY
175,NOKEY
176,NOKEY
177,NOKEY
178,NOKEY
179,NOKEY
180,NOKEY
181,NOKEY
182,NOKEY
183,NOKEY
184,NOKEY
185,CTRL
186,NOKEY
187,9
188,NOKEY
189,NOKEY
190,NOKEY
191,p
192,NOKEY
193,NOKEY
194,NOKEY
195,NOKEY
196,NOKEY
197,NOKEY
198,NOKEY
199,NOKEY
200,NOKEY
201,NOKEY
202,NOKEY
203,NOKEY
204,NOKEY
205,NOKEY
206,NOKEY
207,NOKEY
208,NOKEY
209,NOKEY
210,NOKEY
211,NOKEY
212,NOKEY
213,NOKEY
214,NOKEY
215,NOKEY
216,NOKEY
217,NOKEY
218,NOKEY
219,NOKEY
220,NOKEY
221,NOKEY
222,NOKEY
223,NOKEY
224,NOKEY
225,NOKEY
226,NOKEY
227,NOKEY
228,NOKEY
229,NOKEY
230,NOKEY
231,NOKEY
232,NOKEY
233,NOKEY
234,NOKEY
235,NOKEY
236,NOKEY
237,NOKEY
238,NOKEY
239,NOKEY
240,NOKEY
241,NOKEY
242,NOKEY
243,NOKEY
244,NOKEY
245,NOKEY
246,NOKEY
247,NOKEY
248,NOKEY
249,NOKEY
250,NOKEY
251,NOKEY
252,NOKEY
253,NOKEY
254,NOKEY
255,NOKEY
256,NOKEY
257,CTRL
258,NOKEY
259,NOKEY
260,NOKEY
261,NOKEY
262,NOKEY
263,NOKEY
264,o
265,NOKEY
266,NOKEY
267,NOKEY
268,NOKEY
269,NOKEY
270,NOKEY
271,NOKEY
272,l
273,NOKEY
274,NOKEY
275,NOKEY
276,NOKEY
277,NOKEY
278,NOKEY
279,p
280,NOKEY
281,NOKEY
282,NOKEY
283,NOKEY
284,NOKEY
285,NOKEY
286,NOKEY
287,NOKEY
288,NOKEY
289,NOKEY
290,NOKEY
291,NOKEY
292,NOKEY
293,NOKEY
294,NOKEY
295,NOKEY
296,NOKEY
297,NOKEY
298,NOKEY
299,NOKEY
300,NOKEY
301,NOKEY
302,NOKEY
303,NOKEY
304,NOKEY
305,NOKEY
